Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	mzML/FUS-Neurite-NT_1	mzML/FUS-Neurite-NT_2	mzML/FUS-Neurite-NT_3	mzML/FUS-Neurite-NT_4	mzML/FUS-Neurite-NT_5	mzML/FUS-Neurite-NT_6	mzML/FUS-Soma-NT_1	mzML/FUS-Soma-NT_2	mzML/FUS-Soma-NT_3	mzML/FUS-Soma-NT_4	mzML/FUS-Soma-NT_6	mzML/FUS-Neurite-KD_1	mzML/FUS-Neurite-KD_2	mzML/FUS-Neurite-KD_3	mzML/FUS-Neurite-KD_4	mzML/FUS-Neurite-KD_5	mzML/FUS-Neurite-KD_6	mzML/FUS-Soma-KD_1	mzML/FUS-Soma-KD_2	mzML/FUS-Soma-KD_3	mzML/FUS-Soma-KD_4	mzML/FUS-Soma-KD_5	mzML/FUS-Soma-KD_6	mzML/FUS-Soma-NT_5	mzML/HNRNPA1-Neurite-NT_1	mzML/HNRNPA1-Neurite-NT_2	mzML/HNRNPA1-Neurite-NT_3	mzML/HNRNPA1-Neurite-NT_4	mzML/HNRNPA1-Neurite-NT_5	mzML/HNRNPA1-Neurite-NT_6	mzML/HNRNPA1-Soma-NT_1	mzML/HNRNPA1-Soma-NT_2	mzML/HNRNPA1-Soma-NT_3	mzML/HNRNPA1-Soma-NT_4	mzML/HNRNPA1-Soma-NT_5	mzML/HNRNPA1-Soma-NT_6	mzML/HNRNPA1-Neurite-KD_1	mzML/HNRNPA1-Neurite-KD_2	mzML/HNRNPA1-Neurite-KD_3	mzML/HNRNPA1-Neurite-KD_4	mzML/HNRNPA1-Neurite-KD_5	mzML/HNRNPA1-Neurite-KD_6	mzML/HNRNPA1-Soma-KD_1	mzML/HNRNPA1-Soma-KD_2	mzML/HNRNPA1-Soma-KD_3	mzML/HNRNPA1-Soma-KD_4	mzML/HNRNPA1-Soma-KD_5	mzML/HNRNPA1-Soma-KD_6	mzML/TDP43-Neurite-NT_1	mzML/TDP43-Neurite-NT_2	mzML/TDP43-Neurite-NT_3	mzML/TDP43-Neurite-NT_4	mzML/TDP43-Neurite-NT_5	mzML/TDP43-Neurite-NT_6	mzML/TDP43-Soma-NT_1	mzML/TDP43-Soma-NT_2	mzML/TDP43-Soma-NT_3	mzML/TDP43-Soma-NT_4	mzML/TDP43-Soma-NT_5	mzML/TDP43-Soma-NT_6	mzML/TDP43-Neurite-KD_1	mzML/TDP43-Neurite-KD_2	mzML/TDP43-Neurite-KD_3	mzML/TDP43-Neurite-KD_4	mzML/TDP43-Neurite-KD_5	mzML/TDP43-Neurite-KD_6	mzML/TDP43-Soma-KD_1	mzML/TDP43-Soma-KD_2	mzML/TDP43-Soma-KD_3	mzML/TDP43-Soma-KD_4	mzML/TDP43-Soma-KD_5	mzML/TDP43-Soma-KD_6
Q9Y3X0	Q9Y3X0	CCDC9_HUMAN	CCDC9	Coiled-coil domain-containing protein 9		165682	143185		183546	120526	287860	330646	331024	361497	348239	176409	183095	199665	215289	182284	139344	505317	328939	383313	437243	841612	414138	360560	102021		170244	176174	129218	160686	377534	371304	274966	348045	370142	402488	89751.3	115316	56582.7	102537	75212.6		278516	324671	304540	407204	374015	411388		199934		177940			270989	449068	394979	435266	360690	1013980	233599	152740		115613			275109	236950	312187	335844	319538	
Q9Y3Y2	Q9Y3Y2	CHTOP_HUMAN	CHTOP	Chromatin target of PRMT1 protein	119940	114623	52151.8	54880.4	37252.4	41861.1	2196310	2350300	2284100	2363960	2316670	76951.4	44754.4	73170.4	76450		56003.4	2450540	2411360	2347460	2305800	2260690	2348880	2561780	58686	2180970	54926.7		104590	92538	2291050	2192240	2268020	2332490	2208580	2429560	98273.8	111011	133440	168966	69510.9	133326	2100430	2111090	1875740	2474920	2218140	2069540	128162	130850	146814	102946	175721	115559	2277940	2150680	2563090	2519990	2481840	2176560	102950	84794.5		110480	88447.8	104066	2204660	2476020	2491360	2611960	2628120	1772720
Q9Y3Z3	Q9Y3Z3	SAMH1_HUMAN	SAMHD1	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1	190357	212744	218876	132755	64646.7	65782.1	1344580	1346950	1303800	1265000	1010470	126539	180954	104671	98225.2	155684	339748	1238430	1551540	1305000	1467380	1174900	1506890	1513050				137210	231656	224400	1614550	967940	986654	1312340	1680020	1760880	167132	119086	159978	134008	94799.8	147442	999241	846092	697331	923576	1040650	1188840		176739				143717	1079220	1476200	1192770	1212980	940245							180725	1035960	1042260	987276	960064	1055800	
Q9Y450	Q9Y450	HBS1L_HUMAN	HBS1L	HBS1-like protein	1474390	1485260	1500910	1379050	1346000	1475160	1386680	1116290	1292150	1097280	1338750	1332160	1310940	1404400	1264750	1296150	1425240	1124580	1154610	1031760	1231870	668714	1205820	1096090	1308050	1454230	1370470	1279430	1352350	1348260	1204180	1305030	1445940	1002530	1142250	1258030	1459360	1523900	1628400	1661270	1768720	1967030	1157720	1111550	1324740	1176500	1280670	1090480	1546480	1731240	1603660	1665200	1549920	1846430	1109640	1270420	1453830	1513150	1568590		1304490	1498630	1691780	1483760	1612990	1571100	1042730	1157570	1010850	996353	1289330	
Q9Y463	Q13627;Q9Y463	DYR1B_HUMAN	DYRK1B	Dual specificity tyrosine-phosphorylation-regulated kinase 1B	377327	389594	358404	342064	298177	314787	198653	286631	218855	281500	174089	294174	268788	307810	292827	269844	269519	178204	226244	237239	236549	268225	281978	183617	330328	256553	351073	353448	366566	356478	200015	149419	245074	256385	157883	174163	402526	404482	390153	413984	398976	462193	149866	287853	284030	224397	218690	209991	357765	374082	358536	358125	339899	331932	271901	280000	342468	302638	306695		357725	431752	380471	349971	396426	388772	272179	283116	339672	321845	343762	
Q9Y467	Q9BXA9;Q9NSC2;Q9Y467	SALL2_HUMAN	SALL2	Sal-like protein 2								212547	267372	243390								250322	248002				301995	171645								250809		237526	158663								182289	225578			154930	157848							170931	188761	183152	167641	121892								291826	223601	144668	227421	185731	
Q9Y478	Q9Y478	AAKB1_HUMAN	PRKAB1	5'-AMP-activated protein kinase subunit beta-1	738697	510280	690352	815564	870232	960610	200245	302993	262510	338192	292200	736599	745646	931993	1002040	976632	1259810	287095	341097	152540	367888	1403500	369813		737156	763336	656858	566800	630844	629155	278198	456538	392313	328074		550866	643896	482255	988462	561098	695702	730133	245353	309548	358215	360756	354523	401920	619523	515898	846411	643741	713168	813088		515474					826733	751888	850274	853647	826164	754624		651222				
Q9Y483	Q9Y483	MTF2_HUMAN	MTF2	Metal-response element-binding transcription factor 2							299383	209770	340819	184674	249907							253307	261630	289177	267425			324686							97821.9				271892								279747		181319										312068	307908	255047	256131	299829								300584	281671	289722	366722	284724	
Q9Y484	Q9Y484	WIPI4_HUMAN	WDR45	WD repeat domain phosphoinositide-interacting protein 4	342668	423204	353073	393917	323278	364426	331095	314539			309134	447581	360600	369627	394375	421473	444962			302144	258719		268122	350000	450937	580169	366455	448717	430400	346738	319201	313069	330812	400636	415961	293365	479951	369461	456338	428636	451460	314386	215520	376039	466920	370064		343252	491738	468566	420628	413374	444806	453326	444507	420427		321792			439059	414446	384848	418163	418583	442854	306228	288525	398995		261066	
Q9Y485	Q9Y485	DMXL1_HUMAN	DMXL1	DmX-like protein 1	482507	495240	445632	428770	434713	361249	186311	313306	227206	247710	238138	407368	383060	379606	410199	343609	423996	276098	224006	243945	181232		283018	218583	422241	509072	460382	452159	409000	409239	321727	264041	175082	259410	267241	286803	400010	362872	396122	471821	418664	437404	261584	275638	192960	246027	264583	273986	352762	402202	421902	384467	468515	447094	374006		410694	269881	264846		378184	403565	331082	374280	405603	370978	161199		274730	88137.7	487068	
Q9Y490	Q9Y490	TLN1_HUMAN	TLN1	Talin-1	472978	396783	362171	359047	339521	338683	241468	216068	264224	271309	204233	398423	327598	285029	298009	279806	331964	303756	209762	218946	216894		269388	272587	452003	455389	452757	372146	414453	447505	233596	236585	323549	318754	292994	345402	483680	465011	514649	454972	509886	451567	230481		281893	223555	311199	283899	170717	192210	249405	291947	246442	219661		131553					233537	172367	137393	182469	308516	424947			172605			
Q9Y496	Q9Y496	KIF3A_HUMAN	KIF3A	Kinesin-like protein KIF3A	1660350	1774670	1686250	1724550	1533920	1655490	1836000	2047300	1885780	1902700	2057400	1815080	1797750	1720800	1760250	1784680	1814710	2005730	2056960	1982650	2011620	1294570	1970160	2039870	1567380	1648090	1576440	1604920	1668930	1654320	1943210	1815220	1901730	1922370	2023750	1969410	1691490	1657150	1670310	1644770	1692110	1730880	1781610	1787780	1865300	1916690	1798650	1938600	1374050	1537960	1471080	1542850	1454610	1514540	1925250	1667370	2009460	1784090	1955040	705199	1278970	1287580	1226220	1265730	1338300	1248050	1409380	1402140	1416490	1337420	1403620	676376
Q9Y4A5	Q9Y4A5	TRRAP_HUMAN	TRRAP	Transformation/transcription domain-associated protein	101666	207946	185312	102090	195131	81661.6	771793	740951	819081	775712	873298	56636.6	75336.4	131693	88250.6	65706.2	131094	768986	831859	945373	792422	267277	861995	666108	133560	209500	216982	115773	151447	134915	723832	823995	753846	749016	730987	720412	332319	364665	283953	373667	286741	268935	771646	792990	806201	816561	784503	781814	173474		374999	125024	110969		1046490	1008090	1024810	1126350	950796			148164	57786.4	86411.3	96501.5		1004940	1050670	1034860	1020780	940684	
Q9Y4B4	Q9Y4B4	ARIP4_HUMAN	RAD54L2	Helicase ARIP4				115128			240714	278602	247093	270016	254828							253353	257666	311555	215340		272380	254078							178619	217498	194586	217934	239358	237228							282087	196945	216509	221840	242018	192524							164795	176431	149703	300956	123194								219907	244808	219492	208362	262117	
Q9Y4B5	Q9Y4B5	MTCL1_HUMAN	MTCL1	Microtubule cross-linking factor 1	52141.5	31028.3		116831		48693.1		61076.2	45464.3	53459.4			53094.2		32166.9			60516.1	81296.2	55200.8	78201.5		53374.9	70351.6										68346.9	69399.9		33271.7	58997.8						49296.5	94357.8	56781.5		58479.1	958474	883165	908397	944204	927715	852650	650209	542298	558071	643430			926904	979841	942300	1011230	908999	851225	604025	606497	492606	609829	600471	
Q9Y4B6	Q9Y4B6	DCAF1_HUMAN	DCAF1	DDB1- and CUL4-associated factor 1	177021						289690	251255	198290	241439	324548		293381		43109.7			255075	276343	229485	248198		268367	256529							300663	266357	208565	331032	298468	231431	206054	233217	192060		203492	139734	312503	343854	279641	347714	258237	291802		73349.7	134270	142081			388914	308695	384135	246735	311891								326269	395606	266745	317454	310120	
Q9Y4C2	Q9Y4C2	TCAF1_HUMAN	TCAF1	TRPM8 channel-associated factor 1	2565630	2424570	2461710	2076190	1888000	1971740	2995280	3039310	3049140	2859000	3035650	2076090	1992340	2136160	2106080	1959890	2107170	2964840	3174990	3155420	3085190	1707280	3037400	3252380	2751820	2536000	2589970	2697660	2754310	2698570	3066370	2858760	2859920	2792040	2985940	2945500	3830800	3802870	3726710	3571020	3685810	3988970	2994900	2912750	2977430	3099100	2758270	3007380	2018130	2174700	2430510	2218710	2096210	2172390	2678630	2647490	2810050	2705160	2754960	1401130	1834220	1940730	1810540	1840090	2297080	1717130	2499990	2540780	2331100	2262120	2479880	2380840
Q9Y4C4	Q9Y4C4	MFHA1_HUMAN	MFHAS1	Malignant fibrous histiocytoma-amplified sequence 1	538388	633253	630284	589201	528652	579909	346270				287946	556265	608559	553703	549656	462431	524557								597369	605385	500827	545266	632611	388801			681132	291798			668150	489913	464254	637129	538556	521156		496612					526646	611070	618865	569872	498162	685020	531967		501933				551132	708000	609973	674630	533832	635228					428362	
Q9Y4C8	Q9Y4C8	RBM19_HUMAN	RBM19	Probable RNA-binding protein 19							101326	131263	113875	112042	66862.8							128437	120741	146853	106354		110891	91054.3							117094	80168	96177.4	94986.4	99287.9	88943.1							82352.2	83937	94371.5	143432	108958	83047.8									97242.8	72615.4										95474	99762.6	82646.2	82927	
Q9Y4D1	Q9Y4D1	DAAM1_HUMAN	DAAM1	Disheveled-associated activator of morphogenesis 1	1867530	1999820	1987730	1987740	1954120	2063240	1664820	1768970	1684830	1748440	1754280	2152160	2199940	2149590	1956300	2039360	1927580	1958420	1773960	1792620	1812760	795206	1721790	1766500	2082300	1592640	2062000	1952210	2009470	2090670	1791640	1802680	1644340	1677180	1714130	1786790	1487100	1315950	1490530	1664260	1573350	1278380	1509530	1649350	1707810	1686060	1536790	1665230	1701530	1838580	1689070	1694250	1832940	1809020	1921570	1640470	1915940	1645790	1721660	757721	2331690	2305870	2289220	2182020	1938690	2299380	1919260	2115560	1986880	2096740	2046690	1030200
Q9Y4D8	Q9Y4D8	HECD4_HUMAN	HECTD4	Probable E3 ubiquitin-protein ligase HECTD4	1612200	1629980	1625390	1659830	1651680	1617650	1041950	1020530	1036950	995772	1010690	1701580	1629520	1626740	1595630	1651090	1563140	1051530	1082960	1027440	1082680	521002	1057980	1043820	1535700	1466870	1534220	1513580	1515920	1507520	1073930	1002600	1008190	961952	1024390	1080710	1422910	1417830	1328350	1387000	1451060	1367000	1067840	1009550	1037090	986070	1015010	1133310	1960020	2075900	1983150	2055040	1962210	1941940	1439340	1218210	1340600	1294050	1360520	556781	2028710	2050230	1985130	2092380	1978930	2018460	1287560	1263100	1241830	1184730	1356020	342189
Q9Y4E6	Q9Y4E6	WDR7_HUMAN	WDR7	WD repeat-containing protein 7	1512480	1659080	1511570	1601380	1561290	1526150	834320	816239	827134	819495	764277	1476160	1567980	1518600	1634640	1508470	1652550	896811	923369	855057	875872	310005	785602	814543	1492940	1250270	1450630	1419170	1498780	1608890	740516	773201	654535	775740	756512	703057	1270060	1167520	1219760	1306140	1175990	1137480	752807	646078	770420	602614	710119	760989	1701400	1706520	1666070	1675550	1785280	1781660	1100490	1032600	960404	1078930	948511		1744140	1687990	1667400	1743600	1689260	1815150	1031230	1016560	969073	920964	962218	501750
Q9Y4E8	Q9Y4E8	UBP15_HUMAN	USP15	Ubiquitin carboxyl-terminal hydrolase 15	703224	598028	669880	594839	696855	618782	706250	718283	587265	605535	515651	654293	739353	664537	754601	724871	737693	552994	567459	618366	545243	754500	524263	513596	636540	705221	509015	742005	674355	588290	480130	450406	463564	463241	427535	532144	927887	788340	1008690	803436	866361	800088	388956	482511	469753	403240	522829	416862	872612	874805	1094440	888330	913645	1190510	765315	801102	1010400	721902	727582		951648	996190	1064990	1024710	1042900	1024530	880459	961538	933296	857307	962858	
Q9Y4F1	Q9Y4F1	FARP1_HUMAN	FARP1	FERM, ARHGEF and pleckstrin domain-containing protein 1	1173260	1251450	1208530	1200460	1235940	1217960	1996910	2070240	2032970	2093890	1959500	1148080	1057200	1030910	1075750	993581	934019	1639160	1688000	1620020	1600730	946058	1608250	2167690	1273680	1150350	1221060	1245870	1250000	1287460	2323900	2238320	2295000	2066870	2111100	2246740	1283090	1259200	1228010	1264690	1167320	1169680	1968480	1800630	1773820	1858600	1908860	2014480	1244740	1385840	1340600	1296100	1341360	1326260	2535400	2409670	2533150	2537030	2464030	857265	1144690	1233030	1139540	1130580	1466440	1180140	2383610	2314490	2314620	2227280	2179830	838862
Q9Y4F5	Q9Y4F5	C170B_HUMAN	CEP170B	Centrosomal protein of 170 kDa protein B	215740	188723	172652	216288	226008	196611	318668	279866	325323	335133	387063	167415	240182	196380	284859	290063		331071	286768	294929	355579	387025	280545	303476	243329	208214	207514	140398		205458	402985	310347	346102	297334	355681	494355	157631	181883	181727	180895	217618	265561	408200	341047	295720	357461	338936	336911	246991	217288	230426	219646	281243	226644	492225	362203	487108	456144	463609		288238	251913	206364	228187	211694	249046	383143	399961	375098	373095	408311	
Q9Y4F9	Q9Y4F9	RIPR2_HUMAN	RIPOR2	Rho family-interacting cell polarization regulator 2	198877	171709	178683	104813	80159.3	124875	150760	150680		393236	224428	129953	97608.3	160095	161866	173692	134426	352000	269793	191672	160920		208986	222867	226908	243902	115080	219744	200120	184740	198359	277658	74881.3	131756	227420	325599	235533	170111	148160	178835	250798	179241	241904	98620.1	267054	217205	246938	176737	91024.6	176177		184160	132542	130058							153503				168258							
Q9Y4G6	Q9Y4G6	TLN2_HUMAN	TLN2	Talin-2	1429760	1479640	1438380	1476370	1422730	1363400	1078500	1020870	1140670	1071070	1110270	1350890	1314830	1240880	1270980	1291750	1165240	1076260	1036670	924528	1003260	478359	1016020	1531140	1566340	1760770	1597220	1576620	1484500	1569410	1459560	1302430	1343390	1236330	1431780	1461890	1028680	967059	1015190	1180680	1152850	1007880	1283220	1244380	1300890	1249960	1195460	1446290	1323650	1313130	1255130	1282120	1229830	1363850	1112550	902252	1107350	1005400	1213410		1052850	1036660	1100730	1037720	966403	1158920	843985	869796	901546	890419	876290	
Q9Y4G8	Q9Y4G8	RPGF2_HUMAN	RAPGEF2	Rap guanine nucleotide exchange factor 2	800984	878521	825018	937669	930622	881200	880806	938227	862406	940816	966344	887927	819156	792180	914401	848621	858166	800116	826012	886291	793063	608671	775270	815765	684305	643791	762002	739128	689259	780669	806704	704220	806184	719783	817604	806002	550783	548600	561824	506755	555410	488356	601649	599061	704152	686513	597414	568520	926819	921128	834511	930888	825284	899930	1009450	897667	923796	958802	907934		1042260	1066250	871725	997709	942071	989780	979796	938130	869696	936879	999824	
Q9Y4I1	Q9Y4I1	MYO5A_HUMAN	MYO5A	Unconventional myosin-Va	6268170	6302160	6310830	6283380	6454840	6264850	5042020	5430070	5337700	5214360	5367860	6583740	6256860	6163840	6101060	6238460	6019270	5052030	5054320	4986850	5083460	2309980	5118190	5283950	6207000	6131860	6345600	6166110	6057340	6054700	5635180	5278410	5385580	5195610	5153770	5705730	4413960	4249690	4485950	4669070	4487410	4013100	5022380	4818720	4732130	4714640	4438700	4994640	6944110	6923580	6975360	7041460	6744480	6834210	6131510	5326440	5707960	5592520	5991090	2560180	5840560	5707930	5639280	5894670	5791660	5731510	4998040	4903290	4968440	4691040	4521920	1771540
Q9Y4J8	Q9Y4J8	DTNA_HUMAN	DTNA	Dystrobrevin alpha	385031	496681	464241	547763		413770	435498	467435	392819	246618	369500	687256	461671	452018	506187	510728	521435	521334	460897	363520	475934	189256	448799	356727	633436	618421	562188	473428	477145	488305	525596	539408	507696	400093	455301	527733	428970	387868	450730	378628	317587	291155	591845	500631	560332	479413	572818	741576	428663	476702	415895	486019	484099	539902	524182	438501	379192	379280	491990		356904	290509	368624	475879	308117	411127	286207	349041	324120	244357	253221	
Q9Y4K3	Q9Y4K3	TRAF6_HUMAN	TRAF6	TNF receptor-associated factor 6	790698	893105	774300	908380	870498	903209	589185	437873	463796	389142	560887	975441	898046	932805	1003210	1038120	937692	426119	560208	564807	530142	375623	378314	496091	747073	642359	929546	729840	816869	855143	494460	495315	441945	431088	475197	562970	736060	789653	767340	747898	910651	617476	487987	626003	474101	490726	491684	639342	1159740	1008030	1159370	1086100	946280	1003780	595671	492704	520607	692993	616779		807885	843632	821904	893496	845499	690258	530022	684228	709761	738469	569936	
Q9Y4K4	Q9Y4K4	M4K5_HUMAN	MAP4K5	Mitogen-activated protein kinase kinase kinase kinase 5	641294	659513	667285	658747	714870	678222	593282	543010	629375	563384	638090	670320	626004	649996	706610	617749	703722	658254	559951	569233	612666	193985	554832	625741	701937	644376	664124	628923	687440	715749	659095	614834	654360	527801	621765	727519	666929	656350	619841	657585	724179	689360	625316	667841	637836	651990	637946	690966	578959	524438	558519	514715	631465	522870	492955	462079	558949	499396	492011		486389	457206	552857	551158	479305	576331	452554	475640	393085	408246	492377	
Q9Y4L1	Q9Y4L1	HYOU1_HUMAN	HYOU1	Hypoxia up-regulated protein 1	10467000	10520800	10536200	10366700	10296100	9743250	15221300	15294900	15190900	14760100	15836700	10224800	10038200	9574100	9674720	9708570	10197100	14828400	15479800	15763500	14576300	9874230	14634600	13731100	10140600	9920760	10175100	10037200	10661900	10240000	13825400	14133700	14501900	15814400	13908000	14215700	11186700	11397200	11138400	10992900	10928500	11059000	13526100	13889600	14702200	14216700	14823100	13951000	7835930	8666820	8601600	8694000	8486810	8441570	14226400	13685800	14303200	14523600	13655600	10686100	7849030	8784440	8114340	7963290	9060850	8007820	12962500	12838400	11966400	13291400	12773000	8113690
Q9Y4P1	Q9Y4P1	ATG4B_HUMAN	ATG4B	Cysteine protease ATG4B	753523	774909	781443	724697	753076	796948	656417	534303	528220	531034	612874	757232	840728	835338	811404	697361	811656	591027	603703	524017	576474	370477	579414	608282	791612	832990	844662	869726	824780	785561	653175	448605	608494	576537	522437	520576	839897	855713	859194	910323	856616	826297	550856	522425	573788	557170	479362	642296	979127	1044050	1065380	966814	1067010	999357	849990	903168	1143920	671634	774209		765142	313169	241274	628040	165065	520667		107869	942044		969315	
Q9Y4P3	Q9Y4P3	TBL2_HUMAN	TBL2	Transducin beta-like protein 2	246967	208429	231261	207043	168962	186829	451240	418183	413739	404422	422377	126915	175593	167271	191877	133135	170927	368859	414906	431850	337219		330158	363279	185351	170373	181468	187579	191062	202821	402937	447778	459872	380962	391944	366538	296668	325401	273739	276390	299313	314225	485870	529898	443927	497928	438747	378015	161203	201451	189064	216774	199630	179777	479499	370709	476804	389148	449494		204008	229094	207278	218054	238567	183251	494008	420228	460764	543320	524784	
Q9Y4P8	Q9Y4P8	WIPI2_HUMAN	WIPI2	WD repeat domain phosphoinositide-interacting protein 2	1159920	1143280	1158320	1070450	1151750	1034950	904895	796615	830463	1035910	828975	1020910	983359	1021260	1111450	1005700	1091180	870235	902542	862218	834096		772319	765371	1000420	978573	1011150	1157750	955296	1090670	842262	798470	798191	812181	773935	885709	1032840	1178520	1059710	1222610	1270070	1330140	991369	876920	828796	777628	801045	891956	1440570	1365490	1322110	1356600	1354120	1292720	1234410	1020540	962498	1089700	1073340		1412830	1284820	1316610	1308630	1376630	1299900	955579	1072190	1078690	1089090	1061160	
Q9Y4R8	Q9Y4R8	TELO2_HUMAN	TELO2	Telomere length regulation protein TEL2 homolog	264758	276788	291151	238380	200032	202038	474788	308798	316841	389453	312747	201618	179294	260217	249714	210771	227041	402685	356990	266530	330019		350446	295841	202152	309421	209346	262731	226174	184445	297702	357489	294610	309587	259565	288234	392023	490649	362131	372139	392459	465032	288499	302906	310632	249337	263731	310384	250121	294517	450564	448438	362599	435008	340159	388199		409744	317880		349671	313579	345658	221561	478179	242917	355843	398452	379311	327866	343318	
Q9Y4W2	Q9Y4W2	LAS1L_HUMAN	LAS1L	Ribosomal biogenesis protein LAS1L			61331.2	772740			1745060	1577190	1793730	1687720	1862150							1787460	1649770	1901870	1782070	467290	1538130	1514840				36582	62237	76974.7	1572510	1830290	1589040	1537490	1556700	1567760	162669	162226	126756	173871	119709	155632	1793610	2036160	1806170	2041930	1705920	1733180			98355.2				1810390	1646800	1814810	1654380	1536300	423363			133705	78265.7			1741070	1939250	1764730	2002660	1915150	532017
Q9Y4W6	Q9Y4W6	AFG32_HUMAN	AFG3L2	Mitochondrial inner membrane m-AAA protease component AFG3L2	4325060	4030370	4099500	3706360	3587740	3469040	5859310	5879730	5794080	5563970	5380590	4261390	3922230	4197910	3884030	3942540	4335130	5831640	6115330	5875530	5510080	3089420	5617000	5143660	3831190	4259600	4057500	4021000	4167640	4290030	5537280	5769220	5944800	6006280	5256320	5191940	4495840	4069940	4424830	4485300	4542160	4152420	5662400	5455290	5619810	5673820	5859290	5418570	3639660	3588700	3455080	3593240	3664600	3355070	5337460	4506220	5367490	5184180	5007480	3203950	3616900	3801360	3630260	3320610	3811880	3537040	5920730	5740460	5731800	6195140	5928750	2986890
Q9Y4X4	Q9Y4X4	KLF12_HUMAN	KLF12	Krueppel-like factor 12																				62056.9		118730	21615.4																								28066.9	25707								228215		170419														
Q9Y4X5	Q9Y4X5	ARI1_HUMAN	ARIH1	E3 ubiquitin-protein ligase ARIH1	718459	729984	691998	560456	596753	637499	568265	632803	612975	642421	677173	603909	569164	618581	593836	601877	564777	704466	588642	662575	609520	293328	615041	739515	747300	621069	750311	683422	697332	728738	822184	667224	595234	622504	710615	785607	604531	780617	805756	677996	678447	854973	538716	688954	688674	459043	541183	852899	476937	547046	471532	477719	401654	575548	437543	264924	633941	615807	481195		507378	418619	510728	423992	624351	511282	532686	457394	513324	372739	391905	
Q9Y4Z0	Q9Y4Z0	LSM4_HUMAN	LSM4	U6 snRNA-associated Sm-like protein LSm4	727359	716001	649513	558858	550883	706178	1429370	1370350	1476860	1459350	1565540	580790	509311	654379	553027	578560	530830	1541790	1459580	1533480	1659610	974975	1815930	1560000	562402	210594	606912	589611	575774	584646	1569760	1570400	1570950	1470920	1550210	1498980	828447	1032730	851031	852147	767395	953433	1715500	1616560	1374340	1626360	1609280	1446650	438079	484971	469560	557715	555706	534720	1342110	1762320	1642370	1583400	1491730	1159220	444013	530878	613577	575949	624488	629756	1661750	1538560	1390750	1376790	1493630	806455
Q9Y508	Q9Y508	RN114_HUMAN	RNF114	E3 ubiquitin-protein ligase RNF114	230099	219165	214493	173432	175344	193224	147996	146959	143089		130352	202943	177615	187614	150935	195198	160352		136685	111463	132581	262919	105418	106891	229870		136385	137077	206507	149882	120704	96543.3	125733		77956.4	158591	173270	154712	172342	199241	155905	200203	150911	175747			90452.4		140810	202995	239705	240436	187088	211703	87489.6	162688	81594.9	133267	259589		218971	232071	235568	196184	234545	209006		129233	155206	102911	139759	
Q9Y512	Q9Y512	SAM50_HUMAN	SAMM50	Sorting and assembly machinery component 50 homolog	6407940	6409570	6252620	5864550	5979140	5544850	6301140	6731560	6832170	6601600	6646870	5875720	6175400	6467530	6458310	5434750	6419150	6011050	7907160	7359430	6605090	4392000	6563090	4878380	5665200	6214010	5671800	5717620	6297010	6710670	5205050	5901150	5759900	6124480	5132610	4997170	6249820	6186620	6013780	5837320	5450950	4973110	5466210	5988550	5278770	5710470	5191290	5155250	5222450	5050180	4780620	4934570	5317190	5060990	5703600	6365480	5863370	6631050	5969890	2426180	4692110	5273180	5214180	4616430	5414640	5178010	6860990	6506020	6150000	6371300	6581390	2681470
Q9Y520	Q9Y520	PRC2C_HUMAN	PRRC2C	Protein PRRC2C	320454	274327	290205	228210	332516	437293	841659	906047	927545	978517	1027690	178339		366886	281320	298174	238124	967584	953781	887229	996225	1987200	809024	1074960	297330		176497	814104	231322	1165880	983480	1071490	906723	981257	1064330	1102240	1034210	192774		505452	641043	2639720	922192	902795	958071	903610	887390	954121	244924	270707	244161	283441	270810	266502	1324750	1460610	1461280	1461230	1525680	2366560	293268	295506	320779	294921	376054	178899	1516710	1387780	1426630	1439400	1278940	2518460
Q9Y530	Q9Y530	OARD1_HUMAN	OARD1	ADP-ribose glycohydrolase OARD1	362379	272268	340686	294629	253968	194046	651429	615121	630293	622689	652270	349096	223331	330271	276359	268691	315744	500141	577663	554610	541024		613458	380864	253444	450277	223325	329619	336917	248173	388927	579961	561392	513164	452544	397213	701416	543764	611177	556203	738969	682063	688363	690821	681533	648625	641667	557681						172330	337929	483978	430064	461936	442635						302919	174728	373758	390538	373600	406478	297996	
Q9Y547	Q9Y547	IFT25_HUMAN	IFT25	Intraflagellar transport protein 25 homolog		416364	311578		277683	295432						162260	338268	385208	329836	497457	266235	466328							461219		347525	267940	273991	433068																			359099	371412	365505	269924	342403	284555	428960	314300	294712	390837			390625	278845	304414	375828	268293	353596	251587	285657	302567	332919		
Q9Y566	Q9Y566	SHAN1_HUMAN	SHANK1	SH3 and multiple ankyrin repeat domains protein 1	65279.3	74955.3	61242.4	76340.8	45757	66549.9	57798	55773.5		70922	56986.6	82678.4	59263.6	34047	52618.6	62847.9	41432.8	72812.7	46610.3	64363	35866.5		65459.6	92190.5	81319.9	82936	62745.9	57234.4	46563.7	45187.2	86976.8	51219.5	101121	96755.9	98102.6	52706		12600.8					87731.7	97951	75939.8	54022.1	88562.7	74629.7	106409	133901	131725		141373			171474		90822.3			134404	121596		164045			98060.2	82730.4			52569.9	
