"","PG.Genes","row_mean.HN_L","row_mean.HS_L","row_mean.HN_H","row_mean.HS_H"
"386","RANBP6",3535.607483,4563.21647133333,118.75180563,191.16452537
"387","NEMF",2944.752716,10990.3876953333,182.814582833333,266.175735466667
"388","GMDS",82889.58008,31657.4166633333,NA,NA
"389","NMT2",2655.71429425,2774.11116533333,210.266653075,108.14052488
"390","DIAPH1",6986.1624755,4595.49121066667,NA,110.30134585
"391","SELENOF",3844.93280025,5380.829427,1195.4342430625,2031.674337
"392","SNAP91",46851.1337925,18314.83203,218.427731823333,12299.2571633333
"393","EXOC3",14199.7634275,7437.12076833333,61.4616082533333,47.66467667
"394","PLIN3",2308.055908,4379.28548166667,1613.591278025,650.931661
"395","SLC16A7",1198.53869643333,696.8701477,NA,NA
"396","RAD1",51834.1347666667,29241.5358063333,NA,NA
"397","PRMT3",2383.9087525,2735.36299633333,NA,184.077053055
"398","KPNA6",19697.98877,17505.6083966667,NA,187.43732961
"399","UGDH",3014.3915405,6845.03694666667,NA,NA
"400","CTNND1",40562.624025,19566.3040366667,557.0217209,1094.3319094
"401","ICMT",1857.43124375,2697.71582066667,NA,72.85098617
"402","PLA2G6",911.795944125,399.352096566667,NA,NA
"403","EIF1B",2786.887909,7693.43619766667,325.48853305,735.256632466667
"404","SNX2",10840.6708975,6544.37076833333,84.70414972,NA
"405","DPM1",18033.171875,33199.2024766667,46.487838745,143.932968133333
"406","USO1",5380.994995,21855.85417,NA,NA
"407","MRPS14",6456.855958,4710.952637,NA,NA
"408","TOM1",11072.693359,5692.892741,NA,NA
"409","PFKFB2",1015.175781075,1153.68135566667,805.4247895,5527.73486333333
"410","CCDC22",8025.95263675,6549.965983,709.486780265,193.016215033333
"411","PRAF2",80836.9472675,74952.6197933333,NA,864.3069663
"412","DKC1",631.770802833333,13983.72721,NA,161.948682153333
"413","EIF5B",8815.05065975,20432.52539,NA,54.796040535
"414","EDF1",4860.1970215,10598.0594063333,147.48972343,413.594207766667
"415","DNAJA2",18566.00781,14916.7796233333,NA,160.038843766667
"416","CUTA",10116.591918,9348.32438133333,NA,282.332771286667
"417","OPHN1",2318.986511,909.672973766667,224.910354625,NA
